Designator,Value,Footprint,Manufacturer,Manufacturer Part Number,Supplier,Supplier Part Number,Quantity

"C1","22nF","0805 - Capacitor","","","","","1"
"C2","2.2uF","1210 - Capacitor","","","","","1"
"C3","10nF","0805 - Capacitor","","","","","1"
"C4","100nF","0805 - Capacitor","","","","","1"
"C5","270pF","0805 - Capacitor","","","","","1"
"C6","100uF","OCVZ0606 - CAPACITOR","","","","","1"
"C7","120pF","0805 - Capacitor","","","","","1"
"C8","2.7nF","0805 - Capacitor","","","","","1"
"D1","","SMA - DIODE","","","","","1"
"F1, F2","","3557-2","","","","","2"
"L1","27uH","MSS1210 - INDUCTOR","","","","","1"
"P1, P2","","HDR1X4","","","","","2"
"P3, P4","","CUI_TB002-500-02","CUI Devices","TB002-500-02BE","Digikey","102-6145-ND","2"
"R1, R2","","0603 - Resistor","","","","","2"
"R3","20.5k","0603 - Resistor","","","","311-20.5KHRCT-ND","1"
"R4","3.09k","0805 - Resistor","","","","","1"
"R5","1k","0805 - Resistor","","","","","1"
"R6","19.1k","0603 - Resistor","","","","","1"
"R7","75k","0603 - Resistor","","","","","1"
"R8, R9, R10","10k","0603 - Resistor","","","","","3"
"U1","","LM5005","Texas Instruments","LM5005MHX/NOPB","Mouser","926-LM5005MHX/NOPB","1"
